TimeStamp,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Activity
1.55421E+12,-8.556877,1.977012,3.66253,0.36645097,-0.27696875,0.21198763,8.76,42.72,-32.82,4
1.55421E+12,-8.504205,0.83258367,4.11264,0.06498113,-0.07563378,0.12357068,8.64,42.3,-33.18,4
1.55421E+12,-8.504205,0.30585927,4.174889,0.42290998,0.07669904,-0.05219796,8.52,42,-33.66,4
1.55421E+12,-8.834604,0.789488,3.5619736,0.9821738,0.21731395,-0.13635385,8.46,41.58,-34.08,4
1.55421E+12,-9.141062,1.1677719,2.6809072,1.2612731,0.30999196,-0.1736381,8.46,41.22,-34.44,4
1.55421E+12,-9.356541,1.1965023,2.3026235,1.2133362,0.34834146,-0.25353295,8.52,40.8,-34.8,4
1.55421E+12,-9.524135,0.9379285,1.8764555,1.0684602,0.35473305,-0.3270362,8.58,40.38,-35.1,4
1.55421E+12,-9.725247,0.7128736,1.6705543,0.8788432,0.3121225,-0.34194988,8.64,39.9,-35.4,4
1.55421E+12,-9.749189,0.57879823,1.2587515,0.5816344,0.2545982,-0.32170987,8.76,39.36,-35.76,4
1.55421E+12,-9.725247,0.42556936,0.96665895,0.2130529,0.1917476,-0.27696875,8.82,38.82,-36.24,4
1.55421E+12,-9.753978,0.25797522,1.2443863,-0.14487597,0.13635385,-0.23116238,8.88,38.34,-36.48,4
1.55421E+12,-9.763555,0.032920275,1.4215573,-0.3653857,0.08948222,-0.18961707,8.94,37.86,-36.72,4
1.55421E+12,-9.734824,-0.048482586,1.5652094,-0.40373522,0.0479369,-0.16192019,8.94,37.5,-36.96,4
1.55421E+12,-9.485827,-0.2160767,1.7328035,-0.27803403,0.023435818,-0.14807177,8.94,37.14,-37.14,4
1.55421E+12,-9.495404,-0.04369418,1.8189948,-0.070307456,0.003195793,-0.1470065,8.94,37.02,-37.38,4
1.55421E+12,-9.399636,0.004189853,1.7423803,0.14807177,-0.011717909,-0.15233281,8.88,37.02,-37.56,4
